Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Viral mRNA Translation Homo sapiens R-HSA-192823	27/84	1.2139832034497696E-23	4.9651913021095576E-21	0	0	20.726079243051448	1093.6229764485704	RPL4;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;RPL13A;RPL23A;DNAJC3;RPL24;RPL27;RPL29;RPL28;RPS24
Peptide chain elongation Homo sapiens R-HSA-156902	27/84	1.2139832034497696E-23	4.9651913021095576E-21	0	0	20.726079243051448	1093.6229764485704	RPL4;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;RPL13A;RPL23A;EEF1A1;RPL24;RPL27;RPL29;RPL28;RPS24
Metabolism Homo sapiens R-HSA-1430728	118/1908	3.491708327200044E-23	7.204537897057693E-21	0	0	3.30316573556797	170.8036151297612	RPL4;GLTP;RPL32;GDA;RPL34;RPL10A;RPL6;TM7SF2;CNDP2;RPS15;FLAD1;RPL36;RPL35;RPL37;NUDT16;PSPH;SULT2A1;PDK1;G6PD;RPL21;RPS8;GLCE;SARS;ACSL4;GNPAT;BTD;MTHFD1;RPL24;RPL27;RPL29;RPL28;PSMD10;FECH;GLO1;HMMR;GNS;UQCRH;PMVK;HMOX1;HACL1;APOE;CYC1;DECR2;ARSE;PCK2;SURF1;EPHX2;GNG12;GRHPR;ALDH6A1;GCLC;RPS24;RPLP1;AKR1B1;HK2;RPL7A;GYS1;ATIC;SPR;SMPD1;CA4;PHGDH;PGLS;UPP1;SLC37A4;ACADS;CBR1;HSP90AA1;ARG1;SORD;RPL13A;CTPS2;AMPD2;PTGR1;PSMA4;BDH2;CHDH;ALDH1A1;BLVRB;MVD;BCAT1;AGXT;UMPS;GART;B4GALT4;DTYMK;DDC;PRKAA2;MVK;GMPR2;AKR1D1;RPL36A;UGP2;RPL14;RPL13;RPL15;RPL18;RPL19;NQO1;MDH1;NDUFA4;GLYCTK;CKMT1A;GSS;CYP51A1;RPL23A;ASS1;DHODH;GNPDA1;AADAC;SCD;PSAT1;FABP7;CTH;SARDH;CHPT1;NAGS;PFKM
Selenocysteine synthesis Homo sapiens R-HSA-2408557	27/87	3.5230014166541286E-23	7.204537897057693E-21	0	0	19.686741573033707	1017.8073710153324	RPL4;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;SARS;RPL13A;RPL23A;RPL24;RPL27;RPL29;RPL28;RPS24
Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	27/89	6.985414410216129E-23	1.1428137975113585E-20	0	0	19.049728162377672	971.8339372397542	RPL4;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;RPL13A;RPL23A;EEF1A1;RPL24;RPL27;RPL29;RPL28;RPS24
Eukaryotic Translation Termination Homo sapiens R-HSA-72764	26/87	6.827432515854519E-22	9.308066329948329E-20	0	0	18.60405792839815	906.6859413037581	RPL4;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;RPL13A;RPL23A;RPL24;RPL27;RPL29;RPL28;RPS24
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	26/89	1.3107242362539455E-21	1.5316748932224676E-19	0	0	18.01160224927041	866.0646072496784	RPL4;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;RPL13A;RPL23A;RPL24;RPL27;RPL29;RPL28;RPS24
Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	45/335	2.4361711245824808E-21	2.4909849748855865E-19	0	0	6.991116853751111	331.82538709694853	RPL4;PSMD10;DDC;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;CNDP2;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;PHGDH;RPL37;RPL15;RPL18;PSPH;RPL19;NQO1;RPL21;ARG1;RPS8;CKMT1A;SARS;RPL13A;RPL23A;ASS1;GRHPR;ALDH6A1;GCLC;PSMA4;PSAT1;CTH;RPL24;RPL27;NAGS;RPL29;BCAT1;AGXT;RPL28;RPS24
Selenoamino acid metabolism Homo sapiens R-HSA-2408522	28/111	3.0038804006575137E-21	2.730193519708718E-19	0	0	14.77423206338869	698.1472061694678	RPL4;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;RPL37;RPL15;RPL18;RPL19;RPL21;RPS8;SARS;RPL13A;RPL23A;CTH;RPL24;RPL27;RPL29;RPL28;RPS24
Influenza Life Cycle Homo sapiens R-HSA-168255	30/136	7.41083273655602E-21	6.062061178502824E-19	0	0	12.436182019977803	576.4337525929244	RPL4;RPL32;RPL34;RPLP1;RPL36A;RPL10A;RPL6;RPS15;RPL7A;RPL36;RPL14;RPL35;RPL13;POLR2F;RPL37;RPL15;RPL18;RPL19;HSP90AA1;RPL21;RPS8;RPL13A;RPL23A;DNAJC3;RPL24;RPL27;RPL29;RPL28;RPS24;HSPA1A
