Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein processing in endoplasmic reticulum	73/171	1.1526831010885683E-12	3.5848444443854474E-10	0	0	3.1876317619699637	87.62458241693966	UBXN1;UBE2D2;NGLY1;SEC61A1;CAPN1;SEC62;UBXN4;SIL1;UBXN6;SEC63;HSP90AA1;SEC13;SSR4;FBXO2;SSR2;DNAJB12;YOD1;TRAF2;PDIA6;DDOST;RBX1;DNAJC1;DAD1;DNAJC5;CANX;ERP29;PREB;MAN1B1;ATF6;VCP;SEC23A;RPN2;SAR1A;SAR1B;CUL1;UBE2J2;RNF5;HSP90B1;UBE2J1;DNAJB2;DNAJB1;MAPK9;GANAB;MAPK8;HSPH1;LMAN2;SSR1;BAK1;MAP2K7;UGGT2;UGGT1;SEC31A;TXNDC5;BCAP31;MBTPS1;SEC24A;WFS1;AMFR;EDEM2;EIF2AK2;UBE2G1;EIF2AK4;HSPA2;NSFL1C;STT3A;STUB1;CALR;STT3B;P4HB;SEC24D;SEC24C;HSPA1B;MBTPS2
Endocytosis	95/252	3.866082579116169E-12	6.011758410525643E-10	0	0	2.5950723085163365	68.19533265772398	VPS29;ARF4;ARF1;TFRC;WIPF2;ARPC1B;ARPC1A;CLTC;ARPC5L;SNX12;AP2A1;ARRB1;WASL;ARRB2;AP2A2;KIF5C;CHMP1B;CHMP1A;LDLRAP1;VPS36;GIT1;RAB8A;AP2M1;SH3GL1;SH3GLB1;SH3GLB2;USP8;PRKCI;PDCD6IP;IST1;ARAP2;VPS37A;DNM1;TGFBR1;RNF41;ARFGAP2;DNM2;EPN2;DNM3;ACAP3;ZFYVE16;RABEP1;BIN1;PARD3;TRAF6;RAB35;CHMP4C;CHMP4B;CHMP3;CHMP6;ARF5;ARF6;RAB7A;CHMP5;RAB5C;ASAP3;NEDD4L;VPS26A;ASAP1;VPS26B;PLD1;CBL;EGFR;PLD2;SNX3;PARD6B;RAB11FIP1;AP2S1;PIP5K1C;LDLR;RAB11FIP5;ARFGEF1;GIT2;RAB4A;CAV3;CAV1;GBF1;WWP1;ARPC4;SNF8;STAM;AP2B1;HSPA2;IGF2R;RAB11B;RAB10;ITCH;ARPC2;CAPZA2;CHMP2B;VPS45;FGFR4;FGFR3;RAB5A;HSPA1B
Spliceosome	61/150	8.497524882592641E-10	8.809100794954371E-8	0	0	2.9252904410887663	61.09783847211296	ISY1;DDX46;PRPF19;PQBP1;EFTUD2;SART1;SNRPD1;MAGOH;TXNL4A;RBM17;NCBP1;THOC1;THOC3;PLRG1;WBP11;CDC40;PRPF18;DDX39B;PRPF3;SNRPG;SRSF2;PPIE;SNRNP27;SRSF3;SNRPE;SRSF4;RP9;SRSF5;SNRNP200;SRSF6;SRSF7;SLU7;SNRPA;SNRPB;DDX5;SF3B3;DHX8;DDX23;SRSF1;PRPF8;ZMAT2;PUF60;PCBP1;TRA2B;TRA2A;DHX38;SRSF10;SF3A2;ALYREF;CWC15;HSPA2;LSM3;HNRNPM;SNRNP40;HNRNPK;LSM6;SNW1;PHF5A;ACIN1;RBMX;HSPA1B
Amyotrophic lateral sclerosis	115/364	7.416715843805557E-9	5.76649656855882E-7	0	0	1.9799499559898182	37.063731582745376	NUP107;NDUFA11;NUP188;NDUFA10;ACTG1;GLE1;PSMD9;PSMD6;PSMD4;KIF5C;TUBB3;PSMD2;PSMD3;TUBB1;GABARAPL2;DAXX;NUP210;SDHC;SDHB;NUP93;ATXN2L;SRSF3;MATR3;ND1;PFN1;ATF6;TP53;ND2;SQSTM1;SRSF7;ND5;ND4;NUP205;POM121;PSMD12;VCP;SEH1L;PSMD11;PSMD14;PSMD13;ATP6;PIK3R4;COX7A2;GABARAP;NUP160;ATXN2;KLC2;NUP85;COX2;COX1;NRBF2;NDUFV2;NDUFV1;DNAH10;ALYREF;NUP153;UQCRQ;CHMP2B;CYCS;RAB5A;MCU;ATG2B;BCL2L1;COX7B;COX4I1;CASP9;PPP3CA;TUBA1C;PPP3CB;PPP3CC;RB1CC1;RAB8A;SEC13;NCBP1;NUP133;SIGMAR1;NDUFC2;TRAF2;PSMA5;PSMA6;TUBB2B;PSMA4;PSMA1;ALS2;NDUFS6;NUP50;NDUFS2;NUP54;DCTN6;DCTN5;RAB1A;TOMM40;NDUFB7;NDUFB5;DCTN4;NDUFB4;TANK;PSMA7;PSMB5;PSMB2;PSMB3;PSMB1;RAE1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA1;MAPK12;MTOR;SOD1;FIG4;CCS;VAPB;NUP35
Lysosome	52/128	1.515574422176127E-8	9.426872905935511E-7	0	0	2.9156389783035825	52.49574806383012	SCARB2;HEXB;CLTC;CTSZ;HEXA;AP4E1;NAGPA;LIPA;CTSS;SGSH;MFSD8;LAPTM4A;GNPTAB;LAMP1;AP1G2;AP1G1;LAMP2;AP1S1;AP1S3;CTSF;GUSB;CTSC;CTSB;HGSNAT;ATP6AP1;SLC11A2;AP1B1;AP3B1;NPC2;ATP6V0D1;ATP6V0C;ASAH1;CLN5;GGA2;AP3M1;CLN3;GGA1;GGA3;ATP6V0A2;ATP6V1H;AP4S1;ARSB;CTSA;SORT1;FUCA2;AP3D1;IGF2R;GALNS;GNPTG;GLB1;PPT2;LGMN
Spinocerebellar ataxia	56/143	2.0391608536615266E-8	1.0569650424812247E-6	0	0	2.743948990254409	48.59023936711951	ATP2A2;PIK3CB;RBPJ;PSMD9;PSMD6;KAT5;PSMD4;OPA1;AKT2;PSMD2;RB1CC1;PSMD3;CIC;PRKCA;TRAF2;ATXN2L;PSMA5;PSMA6;PSMA4;PIK3CA;PSMA1;PPIF;VDAC3;VDAC2;PLCB1;SLC25A4;PSMD12;PSMD11;PSMD14;PSMD13;ITPR1;PIK3R4;ITPR2;PIK3R3;PIK3R2;PSMA7;MAPK9;ATXN2;MAPK8;ATXN1;PSMB5;PSMB2;PSMB3;ATXN1L;PSMB1;NRBF2;SPTBN2;NFYA;PUM1;MTOR;PUM2;GNAQ;CYCS;ATXN10;MCU;ATG2B
Salmonella infection	82/249	1.4593850117855908E-7	6.458676502149522E-6	0	0	2.0972115017363193	33.01027792321866	CYFIP1;NCKAP1;ARF1;ARPC1B;CSE1L;FHOD1;TRADD;ARPC1A;ARPC5L;WASL;PIK3CB;PIK3C2A;FBXO22;ACTG1;PIK3C2B;IKBKB;TUBA1C;CASP8;KIF5C;TUBB3;AKT2;TUBB1;CASP4;KPNA4;MAP3K7;KPNA1;HSP90AA1;MAP2K2;CHUK;DYNLT1;VPS33A;RHOG;TRAF2;DYNLL2;DNM2;DYNC1LI2;TUBB2B;PIK3CA;TRAF6;EXOC4;EXOC5;PFN1;RAF1;EXOC2;ARL8A;ARF6;RAB7A;DCTN6;DCTN5;RAB5C;ROCK2;DCTN4;SNX33;MYL12B;HSP90B1;MAPK9;MAPK8;KLC2;PODXL;RPS3;FLNA;MAPK1;SNX9;FLNC;BAK1;MAP2K7;WASF3;MAPK3;GSDMD;DYNC1H1;TNFRSF10B;ARPC4;MAPK12;SNX18;ARPC2;ABI1;VPS41;RAB9A;CYCS;PLEKHM2;TAB2;RAB5A
Ribosome	58/158	1.6613958847973047E-7	6.458676502149522E-6	0	0	2.4718058870326174	38.585971330161954	MRPS17;RPL5;RPL30;MRPS15;RPL3;MRPS11;RPLP0;MRPL34;MRPL33;RPS15;RPS14;RPS17;RPL18A;RPS19;RPL36AL;RPL36;RPL37;RPS10;RPS9;RPL21;RPS8;RPS5;RPS6;RPSA;RPS3A;MRPS7;MRPS18C;MRPS9;RPL24;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;MRPL19;RPL11;MRPL14;RPS4Y1;MRPL13;MRPL10;MRPL20;RPL14;RPS3;RPL13;RPS27A;RPL17;RPL19;MRPL21;MRPL22;RPS26;RPS25;RPS28;RPL22L1;FAU;RPS21;RSL24D1;RPL26L1
Central carbon metabolism in cancer	32/70	3.7126181841517445E-7	1.282915839190214E-5	0	0	3.5780047960301067	52.97722105644587	SLC2A1;SLC2A2;PIK3R3;PIK3R2;PIK3CB;PDHB;SLC1A5;HK2;EGFR;LDHC;LDHA;NRAS;AKT2;ERBB2;MAPK1;SLC16A3;PDK1;MAPK3;G6PD;MAP2K2;IDH2;SIRT6;MTOR;SIRT3;PKM;PIK3CA;SCO2;PGAM4;RAF1;TP53;FGFR3;PFKM
Ubiquitin mediated proteolysis	52/140	4.640929379274752E-7	1.443329036954448E-5	0	0	2.5161744530290995	36.69382749501969	UBE3C;UBE2D2;KEAP1;UBE3B;PRPF19;UBE2L3;CDC20;HERC1;CDC27;SKP2;ANAPC7;FBXW11;FBXO2;UBE2E3;PIAS1;RBX1;DDB1;CDC34;UBE2R2;TRAF6;ANAPC4;ANAPC5;UBA52;ANAPC1;CUL5;MGRN1;CUL3;CUL2;CUL1;NEDD4L;XIAP;KLHL13;UBE2J2;CBL;UBE2J1;FZR1;VHL;RPS27A;UBE2F;UBE2C;WWP1;UBE2G1;UBE2A;CUL4A;ITCH;UBE2O;STUB1;SAE1;UBE2K;TRIM32;UBE2M;CUL4B
Parkinson disease	80/249	6.425470679200088E-7	1.805399699137962E-5	0	0	2.0205151353970527	28.80815275683908	COX7B;NDUFA11;COX4I1;NDUFA10;UBE2L3;CASP9;PSMD9;TUBA1C;PSMD6;PSMD4;KIF5C;TUBB3;PSMD2;PSMD3;TUBB1;PRKACA;DAXX;NDUFC2;SDHC;SDHB;PSMA5;PSMA6;TUBB2B;PSMA4;PSMA1;NDUFS6;VDAC3;PPIF;VDAC2;NDUFS2;ND1;ATF6;TP53;UBA52;ND2;SLC25A4;ND5;ND4;PSMD12;PSMD11;NDUFB7;PSMD14;MAOA;PSMD13;NDUFB5;NDUFB4;ATP6;GNAI3;ITPR1;ITPR2;COX7A2;UBE2J2;GNAI1;PSMA7;UBE2J1;MAPK9;MAPK8;PSMB5;KLC2;PSMB2;PSMB3;PSMB1;COX2;COX1;RPS27A;NDUFV2;NDUFV1;SNCA;NDUFA9;TRAP1;NDUFA8;NDUFA7;NDUFA6;NDUFA1;UBE2G1;UQCRQ;GNAS;CYCS;MCU;BCL2L1
